Tarikh,Negeri,Daerah,Peringkat,Komoditi,Gred/Saiz,Unit,Harga (RM)
21/4/2026,JOHOR,BATU PAHAT,Runcit,BAYAM,F.A.Q,Kilogram,8
21/4/2026,JOHOR,JOHOR BAHRU,Borong,BAYAM,F.A.Q,Kilogram,3
21/4/2026,JOHOR,JOHOR BAHRU,Runcit,BAYAM,F.A.Q,Kilogram,6
21/4/2026,JOHOR,KULAI,Borong,BAYAM,F.A.Q,Kilogram,2.8
21/4/2026,JOHOR,KULAI,Runcit,BAYAM,F.A.Q,Kilogram,4.5
21/4/2026,JOHOR,MERSING,Runcit,BAYAM,F.A.Q,Kilogram,7
21/4/2026,JOHOR,TANGKAK,Ladang,BAYAM,F.A.Q,Kilogram,2.5
21/4/2026,KEDAH,BALING,Ladang,BAYAM,F.A.Q,Kilogram,2
21/4/2026,KEDAH,KOTA SETAR,Borong,BAYAM,F.A.Q,Kilogram,3
21/4/2026,KEDAH,KOTA SETAR,Runcit,BAYAM,F.A.Q,Kilogram,4.5
21/4/2026,KEDAH,KULIM,Runcit,BAYAM,F.A.Q,Kilogram,4
21/4/2026,KEDAH,LANGKAWI,Ladang,BAYAM,F.A.Q,Kilogram,3.5
21/4/2026,KEDAH,LANGKAWI,Borong,BAYAM,F.A.Q,Kilogram,4
21/4/2026,KEDAH,LANGKAWI,Runcit,BAYAM,F.A.Q,Kilogram,6.5
21/4/2026,KEDAH,PADANG TERAP,Ladang,BAYAM,F.A.Q,Kilogram,2.5
21/4/2026,KEDAH,PADANG TERAP,Runcit,BAYAM,F.A.Q,Kilogram,4
21/4/2026,KEDAH,PENDANG,Ladang,BAYAM,F.A.Q,Kilogram,1.9
21/4/2026,KEDAH,PENDANG,Runcit,BAYAM,F.A.Q,Kilogram,4
21/4/2026,KEDAH,YAN,Ladang,BAYAM,F.A.Q,Kilogram,2
21/4/2026,KEDAH,YAN,Runcit,BAYAM,F.A.Q,Kilogram,4.5
21/4/2026,KELANTAN,BACHOK,Runcit,BAYAM,F.A.Q,Kilogram,8
21/4/2026,KELANTAN,KOTA BHARU,Borong,BAYAM,F.A.Q,Kilogram,4.8
21/4/2026,KELANTAN,KOTA BHARU,Runcit,BAYAM,F.A.Q,Kilogram,6.43
21/4/2026,KELANTAN,PASIR MAS,Runcit,BAYAM,F.A.Q,Kilogram,6
21/4/2026,KELANTAN,TUMPAT,Ladang,BAYAM,F.A.Q,Kilogram,3
21/4/2026,MELAKA,ALOR GAJAH,Ladang,BAYAM,F.A.Q,Kilogram,1.5
21/4/2026,MELAKA,ALOR GAJAH,Runcit,BAYAM,F.A.Q,Kilogram,4.5
21/4/2026,MELAKA,MELAKA TENGAH,Ladang,BAYAM,F.A.Q,Kilogram,1.6
21/4/2026,MELAKA,MELAKA TENGAH,Borong,BAYAM,F.A.Q,Kilogram,2
21/4/2026,MELAKA,MELAKA TENGAH,Runcit,BAYAM,F.A.Q,Kilogram,3
21/4/2026,NEGERI SEMBILAN,JEMPOL,Ladang,BAYAM,F.A.Q,Kilogram,1.9
21/4/2026,NEGERI SEMBILAN,JEMPOL,Runcit,BAYAM,F.A.Q,Kilogram,5
21/4/2026,NEGERI SEMBILAN,KUALA PILAH,Ladang,BAYAM,F.A.Q,Kilogram,1.95
21/4/2026,NEGERI SEMBILAN,SEREMBAN,Ladang,BAYAM,F.A.Q,Kilogram,1.9
21/4/2026,NEGERI SEMBILAN,SEREMBAN,Borong,BAYAM,F.A.Q,Kilogram,3.17
21/4/2026,NEGERI SEMBILAN,SEREMBAN,Runcit,BAYAM,F.A.Q,Kilogram,4.77
21/4/2026,NEGERI SEMBILAN,TAMPIN,Ladang,BAYAM,F.A.Q,Kilogram,3
21/4/2026,NEGERI SEMBILAN,TAMPIN,Runcit,BAYAM,F.A.Q,Kilogram,4.5
21/4/2026,PAHANG,CAMERON HIGHLANDS,Runcit,BAYAM,F.A.Q,Kilogram,5.5
21/4/2026,PAHANG,JERANTUT,Runcit,BAYAM,F.A.Q,Kilogram,6
21/4/2026,PAHANG,KUANTAN,Ladang,BAYAM,F.A.Q,Kilogram,2.03
21/4/2026,PAHANG,KUANTAN,Borong,BAYAM,F.A.Q,Kilogram,3.76
21/4/2026,PAHANG,KUANTAN,Runcit,BAYAM,F.A.Q,Kilogram,5.36
21/4/2026,PAHANG,PEKAN,Runcit,BAYAM,F.A.Q,Kilogram,4.5
21/4/2026,PAHANG,RAUB,Runcit,BAYAM,F.A.Q,Kilogram,5
21/4/2026,PAHANG,ROMPIN,Runcit,BAYAM,F.A.Q,Kilogram,7
21/4/2026,PAHANG,TEMERLOH,Runcit,BAYAM,F.A.Q,Kilogram,5.75
